model,accuracy,precision,recall,f1,roc_auc
TF-IDF + Logistic Regression,0.9095127610208816,0.9135514018691588,0.9050925925925926,0.9093023255813953,0.9705749354005169
CNN + LSTM Hybrid,0.8909512761020881,0.8642241379310345,0.9282407407407407,0.8950892857142857,0.9650301464254953
Bidirectional LSTM,0.8689095127610209,0.841541755888651,0.9097222222222222,0.8743047830923248,0.9532461240310076
Advanced FCL (FastText-CNN-LSTM),0.8839907192575406,0.8624454148471615,0.9143518518518519,0.8876404494382022,0.9619885874246339
